[datetime.datetime(2019, 11, 11, 5, 30, 1, 785280), {'all': {'len': 17, 'sum': 267.28999999999996}, 'pa': {'len': 16, 'sum': 267.156}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 5, 35, 1, 920047), {'all': {'len': 17, 'sum': 249.25500000000005}, 'pa': {'len': 16, 'sum': 247.03200000000004}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 5, 40, 2, 139861), {'all': {'len': 17, 'sum': 231.42999999999998}, 'pa': {'len': 17, 'sum': 231.42999999999998}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 5, 45, 2, 233419), {'all': {'len': 17, 'sum': 257.86800000000005}, 'pa': {'len': 17, 'sum': 257.86800000000005}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 5, 50, 2, 125428), {'all': {'len': 17, 'sum': 308.26300000000003}, 'pa': {'len': 17, 'sum': 308.26300000000003}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 5, 55, 2, 320156), {'all': {'len': 17, 'sum': 269.12699999999995}, 'pa': {'len': 17, 'sum': 269.12699999999995}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 6, 0, 2, 132138), {'all': {'len': 18, 'sum': 351.78400000000005}, 'pa': {'len': 17, 'sum': 350.921}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 6, 5, 2, 109303), {'all': {'len': 17, 'sum': 335.156}, 'pa': {'len': 17, 'sum': 335.156}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 6, 10, 2, 549993), {'all': {'len': 16, 'sum': 269.908}, 'pa': {'len': 16, 'sum': 269.908}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 6, 15, 2, 635176), {'all': {'len': 17, 'sum': 257.25600000000003}, 'pa': {'len': 15, 'sum': 255.066}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 6, 20, 1, 811695), {'all': {'len': 16, 'sum': 342.44900000000007}, 'pa': {'len': 16, 'sum': 342.44900000000007}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 6, 25, 2, 352458), {'all': {'len': 16, 'sum': 333.4}, 'pa': {'len': 16, 'sum': 333.4}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 6, 30, 2, 18727), {'all': {'len': 17, 'sum': 293.498}, 'pa': {'len': 17, 'sum': 293.498}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 6, 35, 2, 331386), {'all': {'len': 17, 'sum': 227.81199999999998}, 'pa': {'len': 16, 'sum': 226.66899999999998}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 6, 40, 2, 561647), {'all': {'len': 18, 'sum': 269.53999999999996}, 'pa': {'len': 14, 'sum': 265.42699999999996}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 6, 45, 2, 320120), {'all': {'len': 18, 'sum': 369.402}, 'pa': {'len': 17, 'sum': 369.22499999999997}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 6, 50, 1, 925718), {'all': {'len': 21, 'sum': 393.989}, 'pa': {'len': 17, 'sum': 391.94200000000006}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 6, 55, 1, 995499), {'all': {'len': 17, 'sum': 339.79599999999994}, 'pa': {'len': 16, 'sum': 339.453}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 7, 0, 2, 536420), {'all': {'len': 16, 'sum': 316.37199999999996}, 'pa': {'len': 16, 'sum': 316.37199999999996}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 7, 5, 1, 833717), {'all': {'len': 17, 'sum': 302.145}, 'pa': {'len': 17, 'sum': 302.145}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 7, 10, 1, 926720), {'all': {'len': 18, 'sum': 348.09000000000003}, 'pa': {'len': 16, 'sum': 346.826}, 'tbs': {'len': 0, 'sum': 0}}]
