[datetime.datetime(2019, 11, 9, 6, 25, 2, 716505), {'all': {'len': 18, 'sum': 323.27}, 'pa': {'len': 18, 'sum': 323.27}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 6, 30, 2, 250829), {'all': {'len': 18, 'sum': 307.509}, 'pa': {'len': 18, 'sum': 307.509}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 6, 35, 2, 593039), {'all': {'len': 17, 'sum': 326.956}, 'pa': {'len': 17, 'sum': 326.956}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 6, 40, 2, 655544), {'all': {'len': 15, 'sum': 258.3}, 'pa': {'len': 15, 'sum': 258.3}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 6, 45, 2, 118575), {'all': {'len': 17, 'sum': 290.35599999999994}, 'pa': {'len': 17, 'sum': 290.35599999999994}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 6, 50, 1, 718182), {'all': {'len': 18, 'sum': 358.671}, 'pa': {'len': 18, 'sum': 358.671}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 6, 55, 2, 472806), {'all': {'len': 17, 'sum': 314.9030000000001}, 'pa': {'len': 17, 'sum': 314.9030000000001}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 7, 0, 2, 145511), {'all': {'len': 16, 'sum': 346.11}, 'pa': {'len': 16, 'sum': 346.11}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 7, 5, 2, 350533), {'all': {'len': 16, 'sum': 295.73}, 'pa': {'len': 16, 'sum': 295.73}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 7, 10, 2, 62291), {'all': {'len': 18, 'sum': 313.371}, 'pa': {'len': 18, 'sum': 313.371}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 7, 15, 2, 666792), {'all': {'len': 11, 'sum': 175.078}, 'pa': {'len': 11, 'sum': 175.078}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 7, 20, 2, 553401), {'all': {'len': 3, 'sum': 0.36}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 2, 'sum': 0.246}}]
[datetime.datetime(2019, 11, 9, 7, 25, 1, 852833), {'all': {'len': 20, 'sum': 1.963}, 'pa': {'len': 3, 'sum': 0.307}, 'tbs': {'len': 9, 'sum': 0.862}}]
[datetime.datetime(2019, 11, 9, 7, 30, 2, 299615), {'all': {'len': 29, 'sum': 3.0380000000000003}, 'pa': {'len': 2, 'sum': 0.22}, 'tbs': {'len': 16, 'sum': 1.7220000000000002}}]
[datetime.datetime(2019, 11, 9, 7, 35, 2, 282234), {'all': {'len': 26, 'sum': 3.7530000000000006}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 14, 'sum': 2.172}}]
[datetime.datetime(2019, 11, 9, 7, 40, 1, 758731), {'all': {'len': 28, 'sum': 3.194000000000001}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 14, 'sum': 1.625}}]
[datetime.datetime(2019, 11, 9, 7, 45, 2, 311547), {'all': {'len': 16, 'sum': 1.5419999999999998}, 'pa': {'len': 1, 'sum': 0.093}, 'tbs': {'len': 9, 'sum': 0.8899999999999999}}]
